SCHOOL NAME, MASCOT, ABBREVIATION, CONFERENCE, PRIMARY HEX COLOR, SECONDARY HEX COLOR, PRESTIGE, HOME STATE, PIPELINE STATES (separated by .);
Storrs, Huskies, STOR, Northeast, 000E2F, E4002B, 79, CT, CT.MA.RI;
Radnor, Wildcats, RAD, Northeast, 00205B, 13B5EA, 90, PA, PA.NY.NJ.DE.MD.DC;
Kingston, Rams, KING, Northeast, 68ABE8, FFFFFF, 56, RI, RI.MA.ME;
Elmhurst, Friars, ELM, Northeast, 000000, 8A8D8F, 63, RI, RI.MA.ME;
South Orange, Pirates, SORA, Northeast, 004488, A2AAAD, 67, NJ, NJ.NY;
Hempstead, Pride, HEMP, Northeast, 003591, FDC82F, 37, NY, NY.NJ.PA;
Washington, Hoyas, WASH, Northeast, 041E42, 8D817B, 60, DC, DC.MD;
St. James, Red Storm, STJAM, Northeast, BA0C2F, A7A8AA, 70, NY, NY.NJ;
Burlington, Catamounts, BURL, Northeast, 154734, FFC72C, 46, VT, VT.NH;
St. Josephus, Hawks, STJOS, Northeast, 9E1B32, 6C6F70, 54, PA, PA.DE.MD.DC;
Boston, Huskies, BOS, Northeast, D41B2C, 000000, 35, MA, MA;
Brooklyn, Blackbirds, BKLN, Northeast, 000000, AAAAAA, 52, NY, NY.NJ;
Norfolk, Monarchs, NORF, Northeast, 003057, 7C878E, 40, VA, VA.DE;
Bloomfield, Hawks, BLMFD, Northeast, C02427, 0F0708, 43, CT, CT.MA;
Shrine, Owls, SHRN, Northeast, 9D2235, C1C6C8, 57, PA, PA.DE.MD.DC;
Amherst, Bulls, AMHST, Northeast, 005BBB, FFFFFF, 65, NY, NY.PA;
Coral Gables, Hurricanes, CORGA, Atlantic, 005030, FF671F, 75, FL, FL;
Chestnut Hill, Eagles, CHEST, Atlantic, 98002E, BC9B6A, 58, MA, MA.RI.ME;
Tallahassee State, Seminoles, TALL, Atlantic, 782F40, CEB888, 69, FL, FL;
Lake Hartwell, Tigers, LHU, Atlantic, F56600, 522D80, 61, SC, SC;
Blacksburg Tech, Hokies, BTU, Atlantic, 6A2C3E, CF4520, 71, VA, VA;
Oakland, Panthers, OAK, Atlantic, 1C2957, CDB87D, 57, PA, PA.OH.WV;
Charlottesville, Cavaliers, CRVL, Atlantic, 232D4B, F84C1E, 89, VA, VA;
University Hill, Orange, UHU, Atlantic, D44500, 6F777D, 80, NY, NY;
